"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"OSHWLOGO0.3IN";2;"LOGO";;;
2;"U2";"RaspberryPi";1;"RaspberryPi";;;
3;"C1,C2,C3,C5,C6";"0603_HandSoldering";5;"100nF";;;
4;"C4,C8";"0805_HandSoldering";2;"10uF";;;
5;"C7";"0603_HandSoldering";1;"10nF";;;
6;"D1,D2";"LED_0603_HandSoldering";2;"LED";;;
7;"R1,R5";"0603_HandSoldering";2;"1K";;;
8;"R2,R3,R4";"0603_HandSoldering";3;"10K";;;
9;"U3";"RN2483";1;"RN2483";;;
10;"U4";"TPS79133";1;"TPS79133";;;
11;"U5";"BME280";1;"BME280";;;
12;"U1";"Small_I2C_OLED";1;"small_i2c_oled";;;
13;"P2,P1";"SMA_coax";2;"SMA";;;
